18:54:21.408 [run-main-0] INFO  c.R.cloudsim.Simulation4$ - Best Fit VM allocation policy. Network Datacenter. 
18:54:21.554 [run-main-0] INFO  c.R.c.u.P.ProviderUtils$ - Choosing TimeShared
18:54:21.555 [run-main-0] INFO  c.R.c.u.P.ProviderUtils$ - Choosing TimeShared
18:54:23.247 [run-main-0] INFO  c.R.c.u.P.ProviderUtils$ - List(org.cloudbus.cloudsim.network.switches.EdgeSwitch@d8b9cdd0, org.cloudbus.cloudsim.network.switches.EdgeSwitch@d8b9cdd1, org.cloudbus.cloudsim.network.switches.EdgeSwitch@d8b9cdd2, org.cloudbus.cloudsim.network.switches.EdgeSwitch@d8b9cdd3, org.cloudbus.cloudsim.network.switches.EdgeSwitch@d8b9cdd4, org.cloudbus.cloudsim.network.switches.EdgeSwitch@d8b9cdd5, org.cloudbus.cloudsim.network.switches.EdgeSwitch@d8b9cdd6, org.cloudbus.cloudsim.network.switches.EdgeSwitch@d8b9cdd7, org.cloudbus.cloudsim.network.switches.EdgeSwitch@d8b9cdd8, org.cloudbus.cloudsim.network.switches.EdgeSwitch@d8b9cdd9, org.cloudbus.cloudsim.network.switches.EdgeSwitch@d8b9cdda, org.cloudbus.cloudsim.network.switches.EdgeSwitch@d8b9cddb)
18:54:23.251 [run-main-0] INFO  c.R.c.u.P.SwitchUtils$ - class org.cloudbus.cloudsim.network.switches.RootSwitch
18:54:23.254 [run-main-0] INFO  c.R.c.u.P.SwitchUtils$ - Switch Num: 0
18:54:23.254 [run-main-0] INFO  c.R.c.u.P.SwitchUtils$ - Switch Num: 0
18:54:23.274 [run-main-0] INFO  CloudSim - 
================== Starting CloudSim Plus 5.4.3 ==================

18:54:23.275 [run-main-0] INFO  Datacenter - NetworkDatacenter1 is starting...
18:54:23.276 [run-main-0] INFO  AbstractSwitch - EdgeSwitch2 is starting...
18:54:23.276 [run-main-0] INFO  AbstractSwitch - EdgeSwitch3 is starting...
18:54:23.277 [run-main-0] INFO  AbstractSwitch - EdgeSwitch4 is starting...
18:54:23.277 [run-main-0] INFO  AbstractSwitch - EdgeSwitch5 is starting...
18:54:23.277 [run-main-0] INFO  AbstractSwitch - EdgeSwitch6 is starting...
18:54:23.277 [run-main-0] INFO  AbstractSwitch - EdgeSwitch7 is starting...
18:54:23.277 [run-main-0] INFO  AbstractSwitch - EdgeSwitch8 is starting...
18:54:23.277 [run-main-0] INFO  AbstractSwitch - EdgeSwitch9 is starting...
18:54:23.277 [run-main-0] INFO  AbstractSwitch - EdgeSwitch10 is starting...
18:54:23.277 [run-main-0] INFO  AbstractSwitch - EdgeSwitch11 is starting...
18:54:23.277 [run-main-0] INFO  AbstractSwitch - EdgeSwitch12 is starting...
18:54:23.277 [run-main-0] INFO  AbstractSwitch - EdgeSwitch13 is starting...
18:54:23.277 [run-main-0] INFO  AbstractSwitch - RootSwitch14 is starting...
18:54:23.277 [run-main-0] INFO  AbstractSwitch - AggregateSwitch15 is starting...
18:54:23.277 [run-main-0] INFO  AbstractSwitch - AggregateSwitch16 is starting...
18:54:23.277 [run-main-0] INFO  AbstractSwitch - AggregateSwitch17 is starting...
18:54:23.277 [run-main-0] INFO  DatacenterBroker - DatacenterBrokerSimple18 is starting...
18:54:23.277 [run-main-0] INFO  CloudSim - Entities started.
18:54:23.284 [run-main-0] INFO  DatacenterBroker - 0.00: DatacenterBrokerSimple18: List of 1 datacenters(s) received.
18:54:23.284 [run-main-0] INFO  DatacenterBroker - 0.00: DatacenterBrokerSimple18: Trying to create Vm 0 in NetworkDatacenter1
18:54:23.290 [run-main-0] INFO  DatacenterBroker - 0.00: DatacenterBrokerSimple18: Trying to create Vm 1 in NetworkDatacenter1
18:54:23.291 [run-main-0] INFO  DatacenterBroker - 0.00: DatacenterBrokerSimple18: Trying to create Vm 2 in NetworkDatacenter1
18:54:23.291 [run-main-0] INFO  DatacenterBroker - 0.00: DatacenterBrokerSimple18: Trying to create Vm 3 in NetworkDatacenter1
18:54:23.291 [run-main-0] INFO  DatacenterBroker - 0.00: DatacenterBrokerSimple18: Trying to create Vm 4 in NetworkDatacenter1
18:54:23.310 [run-main-0] INFO  VmAllocationPolicy - 0.00: VmAllocationPolicyBestFit: Vm 0 has been allocated to Host 0/DC 1
18:54:23.312 [run-main-0] INFO  VmAllocationPolicy - 0.00: VmAllocationPolicyBestFit: Vm 1 has been allocated to Host 1/DC 1
18:54:23.316 [run-main-0] INFO  VmAllocationPolicy - 0.00: VmAllocationPolicyBestFit: Vm 2 has been allocated to Host 1/DC 1
18:54:23.317 [run-main-0] INFO  VmAllocationPolicy - 0.00: VmAllocationPolicyBestFit: Vm 3 has been allocated to Host 1/DC 1
18:54:23.317 [run-main-0] WARN  VmAllocationPolicy - 0.00: VmAllocationPolicyBestFit: No suitable host found for Vm 4 in Datacenter 1
18:54:23.320 [run-main-0] ERROR DatacenterBroker - 0.10: DatacenterBrokerSimple18: 1 of the requested 5 VMs couldn't be created because suitable Hosts weren't found in any available Datacenter.
18:54:23.320 [run-main-0] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple18: Sending Cloudlet 0 to Vm 0 in Host 0/DC 1.
18:54:23.320 [run-main-0] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple18: Sending Cloudlet 1 to Vm 1 in Host 1/DC 1.
18:54:23.320 [run-main-0] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple18: Sending Cloudlet 2 to Vm 2 in Host 1/DC 1.
18:54:23.320 [run-main-0] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple18: Sending Cloudlet 3 to Vm 3 in Host 1/DC 1.
18:54:23.320 [run-main-0] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple18: Sending Cloudlet 4 to Vm 0 in Host 0/DC 1.
18:54:23.320 [run-main-0] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple18: Sending Cloudlet 5 to Vm 1 in Host 1/DC 1.
18:54:23.320 [run-main-0] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple18: Sending Cloudlet 6 to Vm 2 in Host 1/DC 1.
18:54:23.321 [run-main-0] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple18: Sending Cloudlet 7 to Vm 3 in Host 1/DC 1.
18:54:23.321 [run-main-0] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple18: Sending Cloudlet 8 to Vm 0 in Host 0/DC 1.
18:54:23.322 [run-main-0] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple18: Sending Cloudlet 9 to Vm 1 in Host 1/DC 1.
18:54:23.323 [run-main-0] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple18: Sending Cloudlet 10 to Vm 2 in Host 1/DC 1.
18:54:23.323 [run-main-0] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple18: Sending Cloudlet 11 to Vm 3 in Host 1/DC 1.
18:54:23.323 [run-main-0] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple18: Sending Cloudlet 12 to Vm 0 in Host 0/DC 1.
18:54:23.323 [run-main-0] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple18: Sending Cloudlet 13 to Vm 1 in Host 1/DC 1.
18:54:23.323 [run-main-0] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple18: Sending Cloudlet 14 to Vm 2 in Host 1/DC 1.
18:54:23.323 [run-main-0] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple18: Sending Cloudlet 15 to Vm 3 in Host 1/DC 1.
18:54:23.324 [run-main-0] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple18: Sending Cloudlet 16 to Vm 0 in Host 0/DC 1.
18:54:23.324 [run-main-0] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple18: Sending Cloudlet 17 to Vm 1 in Host 1/DC 1.
18:54:23.324 [run-main-0] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple18: Sending Cloudlet 18 to Vm 2 in Host 1/DC 1.
18:54:23.324 [run-main-0] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple18: Sending Cloudlet 19 to Vm 3 in Host 1/DC 1.
18:54:23.324 [run-main-0] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple18: Sending Cloudlet 20 to Vm 0 in Host 0/DC 1.
18:54:23.326 [run-main-0] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple18: Sending Cloudlet 21 to Vm 1 in Host 1/DC 1.
18:54:23.326 [run-main-0] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple18: Sending Cloudlet 22 to Vm 2 in Host 1/DC 1.
18:54:23.326 [run-main-0] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple18: Sending Cloudlet 23 to Vm 3 in Host 1/DC 1.
18:54:23.326 [run-main-0] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple18: Sending Cloudlet 24 to Vm 0 in Host 0/DC 1.
18:54:23.326 [run-main-0] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple18: Sending Cloudlet 25 to Vm 1 in Host 1/DC 1.
18:54:23.326 [run-main-0] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple18: Sending Cloudlet 26 to Vm 2 in Host 1/DC 1.
18:54:23.326 [run-main-0] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple18: Sending Cloudlet 27 to Vm 3 in Host 1/DC 1.
18:54:23.327 [run-main-0] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple18: Sending Cloudlet 28 to Vm 0 in Host 0/DC 1.
18:54:23.327 [run-main-0] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple18: Sending Cloudlet 29 to Vm 1 in Host 1/DC 1.
18:54:23.327 [run-main-0] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple18: Sending Cloudlet 30 to Vm 2 in Host 1/DC 1.
18:54:23.327 [run-main-0] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple18: Sending Cloudlet 31 to Vm 3 in Host 1/DC 1.
18:54:23.327 [run-main-0] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple18: Sending Cloudlet 32 to Vm 0 in Host 0/DC 1.
18:54:23.327 [run-main-0] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple18: Sending Cloudlet 33 to Vm 1 in Host 1/DC 1.
18:54:23.328 [run-main-0] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple18: Sending Cloudlet 34 to Vm 2 in Host 1/DC 1.
18:54:23.329 [run-main-0] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple18: Sending Cloudlet 35 to Vm 3 in Host 1/DC 1.
18:54:23.330 [run-main-0] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple18: Sending Cloudlet 36 to Vm 0 in Host 0/DC 1.
18:54:23.330 [run-main-0] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple18: Sending Cloudlet 37 to Vm 1 in Host 1/DC 1.
18:54:23.330 [run-main-0] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple18: Sending Cloudlet 38 to Vm 2 in Host 1/DC 1.
18:54:23.330 [run-main-0] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple18: Sending Cloudlet 39 to Vm 3 in Host 1/DC 1.
18:54:23.330 [run-main-0] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple18: Sending Cloudlet 40 to Vm 0 in Host 0/DC 1.
18:54:23.330 [run-main-0] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple18: Sending Cloudlet 41 to Vm 1 in Host 1/DC 1.
18:54:23.330 [run-main-0] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple18: Sending Cloudlet 42 to Vm 2 in Host 1/DC 1.
18:54:23.330 [run-main-0] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple18: Sending Cloudlet 43 to Vm 3 in Host 1/DC 1.
18:54:23.330 [run-main-0] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple18: Sending Cloudlet 44 to Vm 0 in Host 0/DC 1.
18:54:23.331 [run-main-0] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple18: Sending Cloudlet 45 to Vm 1 in Host 1/DC 1.
18:54:23.331 [run-main-0] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple18: Sending Cloudlet 46 to Vm 2 in Host 1/DC 1.
18:54:23.331 [run-main-0] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple18: Sending Cloudlet 47 to Vm 3 in Host 1/DC 1.
18:54:23.331 [run-main-0] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple18: Sending Cloudlet 48 to Vm 0 in Host 0/DC 1.
18:54:23.331 [run-main-0] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple18: Sending Cloudlet 49 to Vm 1 in Host 1/DC 1.
18:54:23.331 [run-main-0] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple18: Sending Cloudlet 50 to Vm 2 in Host 1/DC 1.
18:54:23.332 [run-main-0] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple18: Sending Cloudlet 51 to Vm 3 in Host 1/DC 1.
18:54:23.332 [run-main-0] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple18: Sending Cloudlet 52 to Vm 0 in Host 0/DC 1.
18:54:23.334 [run-main-0] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple18: Sending Cloudlet 53 to Vm 1 in Host 1/DC 1.
18:54:23.339 [run-main-0] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple18: Sending Cloudlet 54 to Vm 2 in Host 1/DC 1.
18:54:23.340 [run-main-0] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple18: Sending Cloudlet 55 to Vm 3 in Host 1/DC 1.
18:54:23.340 [run-main-0] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple18: Sending Cloudlet 56 to Vm 0 in Host 0/DC 1.
18:54:23.341 [run-main-0] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple18: Sending Cloudlet 57 to Vm 1 in Host 1/DC 1.
18:54:23.341 [run-main-0] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple18: Sending Cloudlet 58 to Vm 2 in Host 1/DC 1.
18:54:23.341 [run-main-0] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple18: Sending Cloudlet 59 to Vm 3 in Host 1/DC 1.
18:54:23.341 [run-main-0] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple18: Sending Cloudlet 60 to Vm 0 in Host 0/DC 1.
18:54:23.342 [run-main-0] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple18: Sending Cloudlet 61 to Vm 1 in Host 1/DC 1.
18:54:23.342 [run-main-0] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple18: Sending Cloudlet 62 to Vm 2 in Host 1/DC 1.
18:54:23.342 [run-main-0] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple18: Sending Cloudlet 63 to Vm 3 in Host 1/DC 1.
18:54:23.342 [run-main-0] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple18: Sending Cloudlet 64 to Vm 0 in Host 0/DC 1.
18:54:23.342 [run-main-0] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple18: Sending Cloudlet 65 to Vm 1 in Host 1/DC 1.
18:54:23.342 [run-main-0] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple18: Sending Cloudlet 66 to Vm 2 in Host 1/DC 1.
18:54:23.342 [run-main-0] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple18: Sending Cloudlet 67 to Vm 3 in Host 1/DC 1.
18:54:23.342 [run-main-0] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple18: Sending Cloudlet 68 to Vm 0 in Host 0/DC 1.
